dataset_index,label,score_layer_0,score_layer_1,score_layer_2,score_layer_3,score_layer_4,score_layer_5,score_layer_6,score_layer_7,score_layer_8,score_layer_9,score_layer_10,score_layer_11,score_layer_12,score_layer_13,score_layer_14,score_layer_15,score_layer_16,score_layer_17,score_layer_18,score_layer_19,score_layer_20,score_layer_21,score_layer_22,score_layer_23,score_layer_24,score_layer_25,score_layer_26,score_layer_27,score_layer_28,score_layer_29,score_layer_30,score_layer_31,score_layer_32,score_layer_33,score_layer_34,score_layer_35,score_layer_36,score_layer_37,score_layer_38,score_layer_39,score_layer_40,score_layer_41,score_layer_42,score_layer_43,score_layer_44,score_layer_45,score_layer_46,score_layer_47,score_layer_48,score_layer_49,score_layer_50,score_layer_51,score_layer_52,score_layer_53,score_layer_54,score_layer_55,score_layer_56,score_layer_57,score_layer_58,score_layer_59,score_layer_60,score_layer_61,score_layer_62,random_score_layer_0,random_score_layer_1,random_score_layer_2,random_score_layer_3,random_score_layer_4,random_score_layer_5,random_score_layer_6,random_score_layer_7,random_score_layer_8,random_score_layer_9,random_score_layer_10,random_score_layer_11,random_score_layer_12,random_score_layer_13,random_score_layer_14,random_score_layer_15,random_score_layer_16,random_score_layer_17,random_score_layer_18,random_score_layer_19,random_score_layer_20,random_score_layer_21,random_score_layer_22,random_score_layer_23,random_score_layer_24,random_score_layer_25,random_score_layer_26,random_score_layer_27,random_score_layer_28,random_score_layer_29,random_score_layer_30,random_score_layer_31,random_score_layer_32,random_score_layer_33,random_score_layer_34,random_score_layer_35,random_score_layer_36,random_score_layer_37,random_score_layer_38,random_score_layer_39,random_score_layer_40,random_score_layer_41,random_score_layer_42,random_score_layer_43,random_score_layer_44,random_score_layer_45,random_score_layer_46,random_score_layer_47,random_score_layer_48,random_score_layer_49,random_score_layer_50,random_score_layer_51,random_score_layer_52,random_score_layer_53,random_score_layer_54,random_score_layer_55,random_score_layer_56,random_score_layer_57,random_score_layer_58,random_score_layer_59,random_score_layer_60,random_score_layer_61,random_score_layer_62
0,1,0.06197401136159897,0.10342629998922348,0.03034725785255432,0.0925169512629509,0.09183567017316818,0.2021501213312149,0.22618502378463745,0.20016862452030182,0.27949225902557373,0.3131788969039917,0.4073023200035095,0.40467092394828796,0.36901575326919556,0.3849519193172455,0.5544873476028442,0.6021662950515747,0.44271647930145264,0.5376737117767334,0.4738195538520813,0.6332254409790039,0.628411054611206,0.6631248593330383,0.5873114466667175,0.5810210704803467,0.5992107391357422,0.9635615944862366,1.0595812797546387,1.1041182279586792,1.1462109088897705,1.262608528137207,1.507939100265503,1.4224724769592285,1.5961992740631104,1.7597591876983643,1.8567665815353394,1.917763590812683,1.8141757249832153,1.9286839962005615,1.9520891904830933,1.891404151916504,1.8240201473236084,1.8168933391571045,1.7446049451828003,1.656034231185913,1.510522484779358,1.4974284172058105,1.4370274543762207,1.5232478380203247,1.4344865083694458,1.4689096212387085,1.4927293062210083,1.5011241436004639,1.6182440519332886,1.5563445091247559,1.48042893409729,1.595404863357544,1.7269089221954346,1.8812347650527954,2.065366744995117,1.996083378791809,2.4676899909973145,1.3026095628738403,0.43275630474090576,0.003922738134860992,-0.03603612631559372,-0.047515954822301865,-0.07937852293252945,-0.00914066657423973,-0.007825581356883049,-0.04555777087807655,-0.06345374882221222,0.14441989362239838,-0.09899403154850006,-0.07242891192436218,-0.1735662817955017,-0.021999254822731018,0.023465629667043686,0.0009358907118439674,-0.034287676215171814,0.13080409169197083,-0.07971067726612091,0.07455766201019287,-0.014350339770317078,-0.008885763585567474,-0.1022409200668335,0.07423992455005646,-0.002724289894104004,-0.329547643661499,-0.021003447473049164,-0.21049395203590393,-0.03907168656587601,0.11169768869876862,-0.45699504017829895,0.2480299174785614,0.07807288318872452,-0.47885334491729736,0.23350118100643158,0.6236973404884338,0.3806717097759247,0.08177788555622101,-0.6315608024597168,-0.5413915514945984,0.149659663438797,0.22904717922210693,0.05665348470211029,-0.021287664771080017,0.8584829568862915,-0.08223665505647659,0.16461917757987976,0.4420933425426483,0.10722583532333374,-0.08623889088630676,0.4743872582912445,-0.09419240057468414,-0.9179708957672119,-0.18898478150367737,-0.11493729799985886,-0.4183155298233032,0.3733036518096924,-0.20603439211845398,0.1724134385585785,0.4222535490989685,0.3950558304786682,-0.3290233910083771,0.0015163272619247437,-0.3841872215270996
1,1,0.056346431374549866,0.049823224544525146,0.008639425039291382,0.04409147799015045,0.009752064943313599,0.09195071458816528,0.12026289105415344,0.08629454672336578,0.14024536311626434,0.10796158760786057,0.1565658450126648,0.23204901814460754,0.21372947096824646,0.2860320806503296,0.3300946354866028,0.34989428520202637,0.20367375016212463,0.2700134515762329,0.19440922141075134,0.3312045931816101,0.42841407656669617,0.4598984122276306,0.4642087519168854,0.40581750869750977,0.41615092754364014,0.6621627807617188,0.7803525328636169,0.8749622106552124,0.8951913118362427,0.8737736344337463,1.0140172243118286,0.9384156465530396,1.120769739151001,1.2731071710586548,1.3735008239746094,1.4043543338775635,1.329485297203064,1.4121246337890625,1.4620587825775146,1.3042466640472412,1.252788782119751,1.2588160037994385,1.1678094863891602,1.0789787769317627,0.8831565380096436,0.8238656520843506,0.7160736322402954,0.8530644774436951,0.6307035684585571,0.7226667404174805,0.8428093194961548,0.7156954407691956,0.8637291193008423,0.9351779222488403,0.9126514792442322,1.230989694595337,1.4685862064361572,1.7212040424346924,1.855626106262207,1.847557544708252,2.261263370513916,1.3081564903259277,0.9647156596183777,0.01812998577952385,-0.018145427107810974,-0.052144989371299744,-0.05514434725046158,-0.010200378485023975,-0.017230311408638954,-0.036720164120197296,-0.02279060147702694,0.04843971133232117,-0.09822259843349457,-0.022539542987942696,-0.13978737592697144,-0.15427851676940918,0.002654045820236206,-0.08909578621387482,-0.00652729719877243,0.02326156198978424,-0.07134716212749481,0.0649716854095459,-0.015933191403746605,0.05732596665620804,-0.07108595967292786,-0.010741323232650757,0.04317740350961685,-0.30826038122177124,0.10126207768917084,-0.12965592741966248,-0.18763533234596252,0.0641808956861496,-0.3564084768295288,0.37156975269317627,-0.3618684411048889,-0.6419527530670166,-0.17549222707748413,0.9415971636772156,0.3325155973434448,-0.0514276921749115,0.03560158610343933,-0.9683842062950134,0.4180556535720825,-0.18216635286808014,0.4519393742084503,-0.48913896083831787,0.8167809844017029,0.11314234137535095,-0.15239527821540833,0.1379593163728714,0.18937689065933228,0.031084612011909485,0.5758074522018433,0.42639875411987305,-0.531666100025177,0.12564769387245178,0.020277351140975952,-0.3806282579898834,0.31650251150131226,0.2298363447189331,-0.017879754304885864,0.3716162145137787,-0.2597616910934448,-0.18130390346050262,-0.1789594292640686,1.1483304500579834
2,0,-0.05655591934919357,-0.02547232061624527,-0.1029295101761818,-0.025576790794730186,-0.06464891880750656,0.014618489891290665,0.0570053830742836,0.0957910344004631,0.09650366008281708,0.03270641714334488,0.011213190853595734,-0.03126218914985657,-0.0776854157447815,-0.05435054749250412,0.023776959627866745,0.10391826927661896,0.028014883399009705,0.02010500431060791,-0.17261405289173126,-0.17386597394943237,-0.14983201026916504,-0.0653606429696083,-0.0838487520813942,-0.18883398175239563,-0.21524137258529663,-0.23936410248279572,-0.35372528433799744,-0.41113847494125366,-0.5594589114189148,-0.6265806555747986,-0.7075893878936768,-0.8293159008026123,-0.8524737358093262,-0.7303913235664368,-0.8227046728134155,-0.9211708307266235,-0.9367749094963074,-0.9632256031036377,-1.0937062501907349,-1.1573485136032104,-1.3100101947784424,-1.3242051601409912,-1.5133610963821411,-1.5605661869049072,-1.6228748559951782,-1.5654151439666748,-1.7933762073516846,-1.5752931833267212,-1.6250399351119995,-1.5148732662200928,-1.3049696683883667,-1.2272218465805054,-1.0497156381607056,-1.0807102918624878,-1.2326847314834595,-0.8013204336166382,-0.4601316750049591,-0.061276040971279144,0.18003636598587036,0.32831406593322754,0.8790106773376465,-0.4523767828941345,-0.6396158933639526,0.02214106172323227,-0.023723196238279343,-0.03302440047264099,-0.05481767654418945,0.030917882919311523,-0.018632106482982635,-0.0209032129496336,-0.03560524806380272,0.07515908777713776,-0.08125799894332886,-0.05212920904159546,-0.023725997656583786,0.048425428569316864,-0.11682385206222534,-0.10059735924005508,0.003378041088581085,0.13443735241889954,0.13718827068805695,0.21032939851284027,-0.06351638585329056,0.1543796807527542,-0.0684330090880394,0.13465435802936554,0.18024219572544098,-0.5033820271492004,0.348916620016098,-0.08176574856042862,-0.030019111931324005,-0.22252890467643738,-0.38187721371650696,0.40996021032333374,0.3471338748931885,-0.6274508237838745,0.43616095185279846,0.4142710864543915,-0.3118482828140259,-0.10813532024621964,-0.031735360622406006,0.253963828086853,-0.1573592573404312,0.09097184240818024,0.3516179025173187,-0.5650976896286011,0.6576338410377502,0.09210436791181564,-0.31454384326934814,0.4385179281234741,-0.8191635012626648,-0.5942217111587524,0.4597298502922058,-0.32465505599975586,0.08787953853607178,0.3694380223751068,0.0826827883720398,0.06616877019405365,0.16111567616462708,0.28755390644073486,0.11130540072917938,0.1576032042503357,0.48271849751472473,-0.0570712685585022,0.6116488575935364,0.05569124221801758
3,0,-0.056115858256816864,-0.022749140858650208,-0.09976126998662949,-0.014767773449420929,-0.05633387714624405,0.028241679072380066,0.07427696883678436,0.10152909904718399,0.1155935674905777,0.05685753747820854,0.036549024283885956,-0.010822370648384094,-0.05116179585456848,-0.030361108481884003,0.060891102999448776,0.1686309576034546,0.0894443616271019,0.09024228155612946,-0.08442682772874832,-0.09646417200565338,-0.07943589240312576,0.004601329565048218,-0.015524260699748993,-0.10918855667114258,-0.1462089568376541,-0.17893151938915253,-0.3044513463973999,-0.37131035327911377,-0.5045894384384155,-0.5754027366638184,-0.6402653455734253,-0.7610383033752441,-0.7557251453399658,-0.6374269723892212,-0.7338870763778687,-0.8400823473930359,-0.8534355759620667,-0.8720700740814209,-0.9982905387878418,-1.0444257259368896,-1.1977492570877075,-1.2014315128326416,-1.3790632486343384,-1.4237945079803467,-1.4825900793075562,-1.4197828769683838,-1.6392978429794312,-1.4493818283081055,-1.5232254266738892,-1.4246277809143066,-1.2144982814788818,-1.1534620523452759,-0.9979285597801208,-1.0324007272720337,-1.1860246658325195,-0.751065731048584,-0.4065893888473511,-0.007240604609251022,0.1783512383699417,0.32392483949661255,0.8399863243103027,-0.43829286098480225,-0.6036018133163452,0.02302614599466324,-0.023666031658649445,-0.03438027203083038,-0.0540180429816246,0.03114609606564045,-0.02276114746928215,-0.018775776028633118,-0.033250629901885986,0.07263384759426117,-0.08256150782108307,-0.044256068766117096,-0.03572637587785721,0.04296589642763138,-0.1369992196559906,-0.09988140314817429,-7.681548595428467e-06,0.10786253213882446,0.15668311715126038,0.1990603804588318,-0.0487472340464592,0.10203570127487183,-0.08800911903381348,0.13772082328796387,0.149436816573143,-0.5092318058013916,0.3506484627723694,-0.05504002794623375,-0.023421645164489746,-0.2450793981552124,-0.3599453568458557,0.4069066643714905,0.3483617305755615,-0.6186846494674683,0.3944163918495178,0.40340185165405273,-0.3120802938938141,-0.17029529809951782,-0.05820465087890625,0.23085513710975647,-0.13094721734523773,0.10341832041740417,0.3653831481933594,-0.586732029914856,0.7125909924507141,0.03308837115764618,-0.33452728390693665,0.43245652318000793,-0.8057363629341125,-0.5764452219009399,0.45070135593414307,-0.3193514943122864,0.036993443965911865,0.3005770146846771,0.07752349972724915,0.021084129810333252,0.1668744683265686,0.25806954503059387,0.10554797947406769,0.16197875142097473,0.4541242718696594,0.038764163851737976,0.6539860963821411,0.03247232735157013
4,1,0.05086899548768997,0.0767417922616005,0.0034862831234931946,-0.004459023475646973,0.01245981827378273,0.1408682018518448,0.17232903838157654,0.16055287420749664,0.20788833498954773,0.135084867477417,0.2775457501411438,0.3518298268318176,0.28367599844932556,0.29197975993156433,0.5005708932876587,0.5619844794273376,0.38103753328323364,0.4011229872703552,0.28580474853515625,0.36339542269706726,0.3812665641307831,0.4525165557861328,0.3334389626979828,0.34075111150741577,0.4052351117134094,0.7626501321792603,0.7349814176559448,0.7609844207763672,0.5591061115264893,0.5888522863388062,0.601112961769104,0.51144939661026,0.6452833414077759,0.825594425201416,0.8889636993408203,0.8003330826759338,0.7946995496749878,0.8441435098648071,0.8564545512199402,0.7011784315109253,0.664592444896698,0.663485050201416,0.540873646736145,0.452934592962265,0.3019412159919739,0.2655315697193146,0.17886587977409363,0.18782594799995422,0.08070704340934753,0.1365417242050171,0.10360503196716309,0.13386091589927673,0.3198089599609375,0.4102713465690613,0.3556285500526428,0.4379134476184845,0.5506855845451355,0.8056944012641907,0.9464272856712341,0.8814995288848877,1.249501347541809,0.15181255340576172,-0.7071388363838196,0.008995924144983292,-0.024075016379356384,-0.0440036915242672,-0.05514192208647728,-0.005912243854254484,-0.005396153777837753,-0.06086817383766174,-0.039329320192337036,0.1969934105873108,-0.12390908598899841,-0.08207421004772186,-0.17586928606033325,-0.05259598046541214,-0.014962080866098404,0.030311420559883118,-0.02278728410601616,0.1538327932357788,-0.03819949924945831,0.10360274463891983,0.009154871106147766,-0.03887956216931343,-0.09499871730804443,-0.008235782384872437,0.05881597474217415,-0.12710309028625488,0.009637199342250824,-0.1585032045841217,-0.051028311252593994,0.24486187100410461,-0.5053856372833252,0.3766465485095978,-0.28810733556747437,-0.3137700855731964,0.10530029237270355,0.4971892535686493,0.5129908323287964,0.013970330357551575,-0.6606216430664062,-0.6151697039604187,-0.13771799206733704,0.6344897150993347,0.057847656309604645,0.13721735775470734,0.4788917303085327,0.019726477563381195,0.214067280292511,0.4653189182281494,0.004648536443710327,-0.3438449501991272,0.38139256834983826,-0.10418738424777985,-0.8502177000045776,-0.16917690634727478,-0.019475169479846954,-0.6268547773361206,0.18859250843524933,0.27129024267196655,0.21572555601596832,0.13245940208435059,0.2484869360923767,0.23357559740543365,-0.07954108715057373,0.16432934999465942
5,0,-0.017236456274986267,0.012868396937847137,-0.03594982996582985,0.030132785439491272,-0.046608492732048035,0.032518420368433,0.08420800417661667,0.061768319457769394,0.10034660995006561,-0.07089316844940186,-0.04707878455519676,0.0375974103808403,-0.03239474073052406,0.06754697114229202,0.2496306300163269,0.34345924854278564,0.255341112613678,0.20849792659282684,0.07948367297649384,0.17404428124427795,0.18941226601600647,0.17712652683258057,0.015754401683807373,-0.029836833477020264,-7.4729323387146e-05,0.2983286678791046,0.07308578491210938,0.12468738108873367,-0.20890134572982788,-0.23781102895736694,-0.30274105072021484,-0.3246995210647583,-0.2419963926076889,-0.12615671753883362,-0.1882634311914444,-0.3507758378982544,-0.41572487354278564,-0.4710913300514221,-0.6464489698410034,-0.7471228837966919,-1.0002273321151733,-1.144866943359375,-1.1339666843414307,-1.0338430404663086,-1.0501022338867188,-1.0254731178283691,-1.200429916381836,-1.1689629554748535,-1.2047619819641113,-1.1770217418670654,-1.138395071029663,-1.2590874433517456,-1.06744384765625,-1.2397277355194092,-1.3791725635528564,-1.1431689262390137,-0.8102748394012451,-0.5279837846755981,-0.306614488363266,-0.3705887794494629,-0.06099545955657959,-0.8000702857971191,-1.4345554113388062,0.04790251702070236,-0.031706538051366806,-0.05552471801638603,-0.11663956195116043,0.04631830379366875,5.439668893814087e-05,0.06480352580547333,0.000846068374812603,0.03294429928064346,-0.13511709868907928,0.020401502028107643,-0.0895521491765976,-0.015103384852409363,0.03805201128125191,-0.14690394699573517,-0.04214510694146156,0.0983683317899704,0.02544848807156086,0.14662964642047882,-0.02349768951535225,0.08348055183887482,0.03608960285782814,0.09402088075876236,0.028749844059348106,-0.20888236165046692,0.156953364610672,-0.12070459127426147,0.02940976619720459,-0.28545713424682617,-0.24601510167121887,0.12556403875350952,0.0810023844242096,-0.1031060591340065,-0.20158500969409943,0.2140604555606842,0.4510278105735779,0.23028814792633057,-0.21169625222682953,-0.41190552711486816,-0.48206207156181335,0.42118996381759644,-0.4031236469745636,0.255757212638855,0.6214073300361633,-0.025035172700881958,0.15782639384269714,0.554355800151825,-0.19595038890838623,-0.877738356590271,0.43891167640686035,-0.0965212732553482,-0.9548653364181519,-0.014616250991821289,0.32454949617385864,-0.3898698091506958,0.16224373877048492,0.3627825379371643,0.5811921954154968,-0.11647945642471313,0.3405267298221588,-0.03148368373513222,0.5043612122535706,-0.07732176780700684
6,1,0.029473185539245605,0.04843132197856903,-0.0017717331647872925,0.04452500119805336,0.03863232955336571,0.13478600978851318,0.14528679847717285,0.14875951409339905,0.25103211402893066,0.24052733182907104,0.3837970793247223,0.4599533677101135,0.4184933602809906,0.4226726293563843,0.6817100048065186,0.7030824422836304,0.5335118770599365,0.5590667724609375,0.4713922142982483,0.6278365850448608,0.6339577436447144,0.7001590132713318,0.6022141575813293,0.6260092258453369,0.6451737284660339,1.069569706916809,1.151618480682373,1.14370596408844,1.0708311796188354,1.0796082019805908,1.1316826343536377,0.9664852619171143,1.0991108417510986,1.2463700771331787,1.3250981569290161,1.2871984243392944,1.232739806175232,1.3901574611663818,1.356652021408081,1.269681692123413,1.2429914474487305,1.2213753461837769,1.204612374305725,1.0773130655288696,0.9026654958724976,0.9517526626586914,0.8728030920028687,0.9097815752029419,0.7971330881118774,0.7959121465682983,0.722478449344635,0.7562058568000793,0.8892518281936646,0.8831309080123901,0.7876849174499512,0.8751837015151978,1.0732544660568237,1.32346773147583,1.509045124053955,1.5647642612457275,2.037041664123535,0.9385936260223389,0.11619114875793457,0.024126574397087097,-0.013969593681395054,-0.0437578484416008,-0.09622291475534439,0.033236294984817505,0.011940987780690193,-0.028025340288877487,-0.06387515366077423,0.18833528459072113,-0.08368922024965286,-0.13498958945274353,-0.14956636726856232,-0.11222818493843079,0.03142908215522766,-0.011682242155075073,-0.0790969729423523,0.09353209286928177,-0.04397419095039368,0.13441208004951477,-0.029872562736272812,0.045393720269203186,-0.15360122919082642,-0.037603165954351425,0.029971152544021606,-0.2428068369626999,0.058824945241212845,-0.2923964858055115,0.05702846497297287,0.1302594542503357,-0.5215709805488586,0.4478512406349182,-0.04871127009391785,-0.3308112323284149,0.2107362598180771,0.3276255130767822,0.2757270932197571,0.23039951920509338,-0.4468359351158142,-0.3739250898361206,-0.12599726021289825,0.27877894043922424,0.010390356183052063,-0.06467795372009277,0.6716960072517395,-0.0749482735991478,0.14331994950771332,0.17596538364887238,0.08851194381713867,-0.11614751815795898,0.0100078284740448,0.1438349485397339,-0.5747491121292114,-0.23992355167865753,-0.06359358131885529,-0.3741913139820099,0.06571964919567108,0.07604382187128067,0.0022750645875930786,0.19565607607364655,0.511829137802124,0.16494937241077423,0.2093733251094818,-0.061865270137786865
7,0,0.07106245309114456,0.057264041155576706,0.015831325203180313,0.09460985660552979,0.08392880111932755,0.18884511291980743,0.18803751468658447,0.15538087487220764,0.19919538497924805,0.1440984159708023,0.1785326451063156,0.2474776804447174,0.23596881330013275,0.2618010640144348,0.3524383008480072,0.41712290048599243,0.25821807980537415,0.33886176347732544,0.3007503151893616,0.5619525909423828,0.6010314226150513,0.6506173014640808,0.5729453563690186,0.5553339123725891,0.5756620168685913,0.7460486888885498,0.7923365831375122,0.8194391131401062,0.6443434953689575,0.7753303050994873,0.8705434799194336,0.8864805698394775,0.9570951461791992,0.9916810989379883,1.059866189956665,1.0563170909881592,0.9824656844139099,1.0529286861419678,1.12332022190094,1.0031843185424805,0.8745343089103699,0.6917586326599121,0.6440940499305725,0.7330389022827148,0.5659152269363403,0.5272787809371948,0.4378523528575897,0.5579339265823364,0.5874216556549072,0.6030548810958862,0.6469895243644714,0.5522092580795288,0.6605143547058105,0.5649727582931519,0.5244312286376953,0.6500629186630249,0.9402705430984497,1.2069616317749023,1.3243913650512695,1.4436261653900146,1.8021228313446045,0.5006905198097229,0.3945537805557251,0.011017149314284325,-0.024593815207481384,-0.027417141944169998,-0.056837037205696106,-0.012786516919732094,0.028130287304520607,-0.023696620017290115,-0.05276568606495857,0.07659384608268738,-0.1361660659313202,0.0032977499067783356,-0.1521056890487671,-0.02590944617986679,-0.12341662496328354,-0.11820575594902039,0.003408624790608883,0.10073904693126678,-0.04610888659954071,0.05470496043562889,0.03252886235713959,-0.16791562736034393,-0.0366523377597332,0.12585026025772095,-0.15198683738708496,-0.1815139204263687,0.05929845944046974,-0.12017454952001572,-0.019911903887987137,0.034162186086177826,0.015448912978172302,0.07247708737850189,-0.3199155032634735,-0.01094285398721695,-0.07237681746482849,1.1794015169143677,0.3693125247955322,0.0010833442211151123,-0.1991536021232605,-0.6927390694618225,0.2994902729988098,0.20404404401779175,-0.38905593752861023,-0.4790657162666321,0.9226279258728027,-0.012326680123806,0.2484687864780426,0.3116920590400696,-0.17492243647575378,-0.10775932669639587,0.1544460654258728,0.14352566003799438,0.10985937714576721,-0.25495830178260803,-0.018297769129276276,0.5446524620056152,-0.0032224953174591064,-0.010866906493902206,-0.30612418055534363,0.2305106520652771,0.3485667407512665,-0.022815853357315063,-0.08388963341712952,0.6354228258132935
8,1,0.06034070998430252,0.06783483177423477,0.008931007236242294,0.020624853670597076,0.026086602360010147,0.14501143991947174,0.17601826786994934,0.14100196957588196,0.22117051482200623,0.21355703473091125,0.33450934290885925,0.4307149052619934,0.3732477128505707,0.3898351788520813,0.60498046875,0.6288429498672485,0.4792667031288147,0.5101586580276489,0.4062349796295166,0.5369356870651245,0.5422385931015015,0.5593032240867615,0.4238179624080658,0.3712112307548523,0.3131832182407379,0.6907588243484497,0.8029651641845703,0.8351959586143494,0.7159091234207153,0.7910129427909851,0.8258364796638489,0.7378240823745728,0.9233735799789429,1.0721251964569092,1.096210241317749,1.0817898511886597,1.0615005493164062,1.1311302185058594,1.1784098148345947,1.1116204261779785,1.1001909971237183,1.079932451248169,1.0781663656234741,1.028840184211731,0.8652965426445007,0.882904589176178,0.8219233155250549,0.8454377055168152,0.7945104837417603,0.8539978265762329,0.8027047514915466,0.7688178420066833,0.8666030168533325,0.9505171179771423,0.928787350654602,0.9153638482093811,1.044404149055481,1.2764029502868652,1.3741559982299805,1.228743553161621,1.6309947967529297,0.9389684200286865,0.5706182718276978,0.016187436878681183,-0.014693699777126312,-0.054274871945381165,-0.08031647652387619,0.037656400352716446,0.020150618627667427,-0.037608303129673004,-0.02775253728032112,0.16237500309944153,-0.10053520649671555,-0.0748213678598404,-0.20825010538101196,-0.06572923064231873,0.000496789813041687,0.01966170035302639,-0.047072865068912506,0.14553654193878174,-0.06652577966451645,0.031756117939949036,0.051634885370731354,-0.054047841578722,-0.05695238709449768,-0.02541281282901764,0.014293543994426727,-0.2079964131116867,0.08877357840538025,-0.22962984442710876,-0.01438353955745697,0.08807556331157684,-0.5645611882209778,0.48385053873062134,-0.14601510763168335,-0.4369717538356781,0.25810521841049194,0.41760706901550293,0.41886335611343384,0.2517196536064148,-0.7133349180221558,-0.7844454050064087,-0.23764151334762573,0.48694828152656555,-0.08744829148054123,-0.24530576169490814,0.6630463004112244,-0.017920922487974167,0.17325961589813232,0.23010168969631195,-0.0476243793964386,-0.24027079343795776,0.197669118642807,-0.060452379286289215,-0.35775256156921387,0.07073858380317688,0.04039493948221207,-0.5530643463134766,0.08187849074602127,0.021469466388225555,-0.10865414142608643,0.40436211228370667,0.12211009860038757,0.2222355604171753,0.30192145705223083,-0.1394946575164795
9,0,-0.14917033910751343,-0.06620924174785614,-0.10753817856311798,-0.002331780269742012,-0.13635540008544922,-0.0044742971658706665,-0.024116043001413345,-0.04272551089525223,0.031893305480480194,-0.09173035621643066,-0.09919548034667969,-0.026611728593707085,-0.09197067469358444,-0.06089361384510994,0.023457178846001625,0.019693724811077118,-0.1133139580488205,-0.07874150574207306,-0.09744285047054291,0.11366181820631027,0.13439181447029114,0.1010451391339302,-0.0018976032733917236,-0.08090902119874954,0.03128620237112045,0.21059489250183105,0.22610080242156982,0.23633059859275818,0.139100581407547,0.14785975217819214,0.313668429851532,0.23691301047801971,0.3460778295993805,0.439006507396698,0.47947633266448975,0.46933892369270325,0.31491976976394653,0.4421159625053406,0.21720054745674133,0.1477775275707245,0.05752354860305786,0.0896594226360321,0.08884429931640625,0.09153026342391968,-0.13033521175384521,-0.009945988655090332,-0.24524837732315063,-0.14957839250564575,-0.28081974387168884,-0.32030189037323,-0.15503963828086853,-0.25786980986595154,-0.1508643925189972,-0.28202855587005615,-0.49287474155426025,-0.11312106251716614,0.08956071734428406,0.25555044412612915,0.5179506540298462,0.9707280397415161,1.6927770376205444,-0.07293987274169922,-0.07028177380561829,0.09265489131212234,-0.07409828901290894,-0.00022253184579312801,-0.20072081685066223,0.041364505887031555,-0.07562728226184845,-0.014012474566698074,-0.02404709719121456,-0.09862916171550751,-0.21650972962379456,0.025893187150359154,-0.10833605378866196,-0.047045767307281494,0.04199463874101639,-0.053587209433317184,-0.12282857298851013,0.04811941832304001,-0.11539925634860992,0.09345214068889618,-0.031198468059301376,0.07132534682750702,-0.01856539212167263,0.06555129587650299,-0.11237882077693939,-0.03644653037190437,0.27411341667175293,0.019781753420829773,-0.2681388854980469,-0.0870240181684494,0.07954464852809906,-0.03254838287830353,-0.3462815284729004,-0.10140474140644073,-0.0890142172574997,-0.033278658986091614,0.033008746802806854,0.4839472472667694,-0.002729557454586029,0.08787263929843903,0.4655401408672333,0.3696690499782562,-0.33882176876068115,0.39591729640960693,0.6209874153137207,-0.37392860651016235,0.4395338296890259,0.018956482410430908,-0.19660943746566772,-0.7436816692352295,0.6333096623420715,0.43929457664489746,-0.2331412136554718,-0.24070137739181519,-0.06331610679626465,-0.4376569390296936,0.07579413056373596,-0.10361409187316895,0.6870700716972351,-0.9133234024047852,1.0200073719024658,-0.29570162296295166,0.09856832027435303,1.4839893579483032
