dataset_index,label,score_layer_0,score_layer_1,score_layer_2,score_layer_3,score_layer_4,score_layer_5,score_layer_6,score_layer_7,score_layer_8,score_layer_9,score_layer_10,score_layer_11,score_layer_12,score_layer_13,score_layer_14,score_layer_15,score_layer_16,score_layer_17,score_layer_18,score_layer_19,score_layer_20,score_layer_21,score_layer_22,score_layer_23,score_layer_24,score_layer_25,score_layer_26,score_layer_27,score_layer_28,score_layer_29,score_layer_30,score_layer_31,score_layer_32,score_layer_33,score_layer_34,score_layer_35,score_layer_36,score_layer_37,score_layer_38,score_layer_39,score_layer_40,score_layer_41,score_layer_42,score_layer_43,score_layer_44,score_layer_45,score_layer_46,score_layer_47,score_layer_48,score_layer_49,score_layer_50,score_layer_51,score_layer_52,score_layer_53,score_layer_54,score_layer_55,score_layer_56,score_layer_57,score_layer_58,score_layer_59,score_layer_60,score_layer_61,score_layer_62,random_score_layer_0,random_score_layer_1,random_score_layer_2,random_score_layer_3,random_score_layer_4,random_score_layer_5,random_score_layer_6,random_score_layer_7,random_score_layer_8,random_score_layer_9,random_score_layer_10,random_score_layer_11,random_score_layer_12,random_score_layer_13,random_score_layer_14,random_score_layer_15,random_score_layer_16,random_score_layer_17,random_score_layer_18,random_score_layer_19,random_score_layer_20,random_score_layer_21,random_score_layer_22,random_score_layer_23,random_score_layer_24,random_score_layer_25,random_score_layer_26,random_score_layer_27,random_score_layer_28,random_score_layer_29,random_score_layer_30,random_score_layer_31,random_score_layer_32,random_score_layer_33,random_score_layer_34,random_score_layer_35,random_score_layer_36,random_score_layer_37,random_score_layer_38,random_score_layer_39,random_score_layer_40,random_score_layer_41,random_score_layer_42,random_score_layer_43,random_score_layer_44,random_score_layer_45,random_score_layer_46,random_score_layer_47,random_score_layer_48,random_score_layer_49,random_score_layer_50,random_score_layer_51,random_score_layer_52,random_score_layer_53,random_score_layer_54,random_score_layer_55,random_score_layer_56,random_score_layer_57,random_score_layer_58,random_score_layer_59,random_score_layer_60,random_score_layer_61,random_score_layer_62
0,1,-0.04205396771430969,-0.014675691723823547,-0.07204554975032806,0.025579864159226418,-0.04000117629766464,-0.013684075325727463,0.029073204845190048,0.011463068425655365,0.09398838877677917,0.08632878959178925,0.08805012702941895,0.07415115088224411,0.07297521084547043,0.10164988785982132,0.11842161417007446,0.1024727076292038,0.06950502097606659,0.05917815491557121,0.025664985179901123,0.026376500725746155,0.056239500641822815,0.042260706424713135,-0.027226656675338745,-0.16204571723937988,-0.19593633711338043,-0.10979471355676651,-0.3155946731567383,-0.24665850400924683,-0.5069445371627808,-0.4873945415019989,-0.4517274498939514,-0.6115356683731079,-0.5285558700561523,-0.3630680441856384,-0.4734302759170532,-0.5473132133483887,-0.6151395440101624,-0.6185227632522583,-0.5850706100463867,-0.6367237567901611,-0.6743447780609131,-0.7069016695022583,-0.6829115748405457,-0.7557498812675476,-0.7836626768112183,-0.7364315986633301,-0.850401759147644,-0.7014317512512207,-0.7227656841278076,-0.6336439847946167,-0.6409963369369507,-0.5781210660934448,-0.4319126307964325,-0.4106982946395874,-0.49020707607269287,-0.2006685733795166,0.14681360125541687,0.5014078617095947,0.6306509971618652,0.9919557571411133,1.1139793395996094,-0.6673768758773804,-0.29327940940856934,0.04356367513537407,0.0017258310690522194,-0.08899618685245514,-0.06883133947849274,-0.033622145652770996,-0.047398053109645844,0.05296261981129646,0.010845266282558441,0.05047125369310379,-0.125544935464859,-0.0050927381962537766,-0.10176146030426025,-0.0006138235330581665,-0.015691298991441727,-0.08885231614112854,-0.03380276635289192,0.05416223034262657,-0.007384561002254486,0.14773651957511902,0.1449493020772934,0.0059570930898189545,0.1163158267736435,0.042676761746406555,0.05884166061878204,-0.14646603167057037,0.04419737309217453,-0.2841765284538269,-0.1697077453136444,-0.11695562303066254,-0.025822356343269348,0.37487033009529114,0.2702881693840027,-0.09011615067720413,-0.45059508085250854,0.32064688205718994,0.15766353905200958,-0.21715402603149414,0.17963767051696777,0.17976996302604675,-0.2684555649757385,0.1289045512676239,0.15576155483722687,-0.08004678040742874,0.11727142333984375,0.28546276688575745,0.027434438467025757,0.035329669713974,0.05564507842063904,-0.6140558123588562,0.3708237409591675,-0.20923210680484772,-0.31297826766967773,-0.32311150431632996,0.41916438937187195,0.08783517777919769,0.7880879044532776,-0.0338117778301239,0.19678348302841187,-0.2968558669090271,0.828131914138794,-0.9021848440170288,0.1885875165462494,0.23169264197349548
1,1,0.10049715638160706,0.10127508640289307,0.05201871320605278,0.0959024429321289,0.05820739269256592,0.13492345809936523,0.16425375640392303,0.17191050946712494,0.23103037476539612,0.15089350938796997,0.24619591236114502,0.2557608187198639,0.15360420942306519,0.25737595558166504,0.3303495943546295,0.4679918587207794,0.25053203105926514,0.3338819444179535,0.23659184575080872,0.4545387327671051,0.3910484313964844,0.45922327041625977,0.35812658071517944,0.3130893409252167,0.3606116473674774,0.7105263471603394,0.6789625883102417,0.7580447793006897,0.6247990727424622,0.6753488183021545,0.7120434045791626,0.8111850023269653,0.990867555141449,1.0739893913269043,1.1714626550674438,1.2468653917312622,1.1414649486541748,1.1791486740112305,1.175119400024414,1.045833945274353,0.9055604338645935,0.8236701488494873,0.7880051136016846,0.7535539865493774,0.6868125200271606,0.7026135921478271,0.5276581048965454,0.6231862902641296,0.7634564638137817,0.9286019206047058,1.099251389503479,1.1242656707763672,1.3884096145629883,1.4068516492843628,1.229676604270935,1.3722749948501587,1.7867193222045898,1.9116238355636597,2.145721912384033,2.1265153884887695,2.5421152114868164,1.1609693765640259,0.24704450368881226,0.0182713083922863,-0.024741265922784805,-0.05322449281811714,-0.05893995985388756,-0.03141115605831146,-0.0009103752672672272,-0.010053611360490322,-0.038020193576812744,0.05253109335899353,-0.06606294959783554,-0.04323823004961014,-0.09816699475049973,0.004839690402150154,-0.05518031120300293,-0.1493288278579712,-0.016980677843093872,0.15163782238960266,-0.05340174585580826,0.21779336035251617,-0.012297764420509338,-0.026840154081583023,0.07573780417442322,0.05218661203980446,0.030384518206119537,-0.1468205451965332,0.09190943837165833,-0.30291157960891724,-0.23857063055038452,-0.10947228968143463,0.032991692423820496,0.48110130429267883,-0.1417761594057083,-0.10620599240064621,-0.13054603338241577,0.6551122665405273,0.36479488015174866,0.26094773411750793,-0.38101452589035034,-0.47104811668395996,-0.053293824195861816,0.5538520812988281,0.007756821811199188,0.06445050239562988,0.7664339542388916,-0.6516368389129639,0.37078922986984253,0.5639764070510864,0.2585603594779968,-0.4794653058052063,0.1579393744468689,-0.3571322560310364,-0.5560191869735718,-0.008753970265388489,0.4806963801383972,0.1458698809146881,0.4488673210144043,-0.5467371940612793,0.16168121993541718,-0.07499644160270691,0.0002657473087310791,-1.1467084884643555,-0.15284419059753418,0.05377185344696045
2,1,0.029934555292129517,0.03339562565088272,-0.02063708007335663,0.00461873784661293,-0.010598592460155487,0.08124634623527527,0.15690909326076508,0.17778348922729492,0.19649454951286316,0.12392667680978775,0.2251395583152771,0.29484835267066956,0.22273600101470947,0.19149404764175415,0.45262640714645386,0.5194485187530518,0.3951459527015686,0.49633899331092834,0.3322180509567261,0.45361655950546265,0.4913994073867798,0.5366238951683044,0.373568594455719,0.3108461797237396,0.3131536841392517,0.7027415037155151,0.7965151071548462,0.8668922185897827,0.7339581251144409,0.6999584436416626,0.686081051826477,0.5289614796638489,0.585991621017456,0.8613185882568359,0.8610315322875977,0.75357985496521,0.7231978178024292,0.795852780342102,0.8085210919380188,0.7231693267822266,0.6165522336959839,0.5286496877670288,0.5272970199584961,0.4073523283004761,0.26015278697013855,0.227815181016922,0.12278507649898529,0.24210233986377716,0.18377970159053802,0.15295203030109406,0.31064921617507935,0.36129748821258545,0.5381752848625183,0.5092054605484009,0.3841552734375,0.49518537521362305,0.7125534415245056,0.9950924515724182,1.2246143817901611,1.205350399017334,1.7978568077087402,0.6788040995597839,-0.2747635245323181,0.00047205202281475067,-0.030334115028381348,-0.05447109043598175,-0.0658392682671547,0.012853004038333893,0.020210225135087967,-0.029509764164686203,-0.0535125806927681,0.1602427214384079,-0.08803880959749222,-0.10710155963897705,-0.1319875717163086,0.009149119257926941,-0.043921470642089844,-0.03425430878996849,-0.1196230873465538,0.07201695442199707,0.01828864961862564,0.08820551633834839,0.041940733790397644,-0.06884829699993134,-0.24164734780788422,0.1770906299352646,-0.00042821653187274933,-0.24539434909820557,-0.10394629836082458,-0.1802789568901062,-0.2099819779396057,0.06956790387630463,-0.24891000986099243,0.5514379143714905,-0.007574841380119324,-0.29156267642974854,0.39121076464653015,0.39272481203079224,0.5679179430007935,0.3679563105106354,-0.7672954797744751,-0.09372411668300629,-0.22844919562339783,0.02148878574371338,-0.36907079815864563,-0.33454394340515137,0.4331357479095459,0.03683140128850937,0.2686583697795868,0.41777533292770386,0.0489162877202034,-0.7734540700912476,0.2900969982147217,-0.05750834196805954,-0.750272274017334,-0.5739282369613647,0.19343337416648865,-0.13958896696567535,-0.3389572501182556,-0.008754342794418335,-0.0012792274355888367,0.10946732759475708,0.24204295873641968,0.014509588479995728,-0.11031843721866608,0.2587921619415283
3,1,0.04945655167102814,0.05534490942955017,-0.0015009194612503052,0.04495161026716232,0.08328184485435486,0.18406261503696442,0.2704845070838928,0.2506740689277649,0.2917783260345459,0.26887232065200806,0.38300907611846924,0.4038093090057373,0.2893560230731964,0.319339394569397,0.5954519510269165,0.7098866701126099,0.501344621181488,0.596294105052948,0.49069103598594666,0.635400652885437,0.6525925397872925,0.6785591840744019,0.5008368492126465,0.4631301462650299,0.4200802445411682,0.7544175386428833,0.7938985824584961,0.8947124481201172,0.8585577011108398,0.9710189700126648,1.083816409111023,1.0330103635787964,1.2223117351531982,1.4778079986572266,1.4831311702728271,1.4295454025268555,1.4388880729675293,1.4918594360351562,1.4806067943572998,1.3505451679229736,1.2203419208526611,1.1837308406829834,1.177776575088501,0.9564416408538818,0.8246584534645081,0.779230535030365,0.6808143854141235,0.7215261459350586,0.7076538801193237,0.7886180281639099,0.8786747455596924,0.835351824760437,0.9795736074447632,1.0613420009613037,0.955369234085083,0.9196902513504028,1.0707647800445557,1.2693233489990234,1.4561641216278076,1.3261374235153198,1.6529531478881836,0.925729513168335,0.35627323389053345,0.0030273757874965668,-0.022058118134737015,-0.03197016194462776,-0.07841331511735916,-0.013474889099597931,0.00030146539211273193,0.016096454113721848,-0.031043920665979385,0.1965966373682022,-0.07987769693136215,-0.09152276813983917,-0.09407192468643188,-0.12214818596839905,-0.021534577012062073,0.013997640460729599,-0.07634931057691574,0.10134896636009216,0.018532294780015945,0.03970281034708023,0.1554061770439148,-0.03279548138380051,-0.1445450782775879,0.08927953243255615,0.1346846967935562,-0.1596222072839737,-0.07503566145896912,-0.024031564593315125,-0.14031347632408142,0.32662487030029297,-0.06170980632305145,0.2745601236820221,-0.15807700157165527,-0.47639548778533936,0.18845249712467194,0.5481421947479248,0.5874065160751343,0.2556104362010956,-0.8713060617446899,-0.11069019883871078,-0.4408838748931885,0.09509149193763733,-0.024575188755989075,0.00507713109254837,0.5932090878486633,0.014043018221855164,0.6276282668113708,0.5771055221557617,-0.034890905022621155,-0.5472337603569031,-0.18364660441875458,-0.06688572466373444,-0.456020712852478,-0.35471609234809875,0.21118927001953125,-0.16029703617095947,0.4494379162788391,-0.05520544946193695,0.1712377369403839,0.5681301355361938,0.7549124956130981,-0.18484637141227722,-0.1353335678577423,-0.05136173963546753
4,1,0.07342231273651123,0.06821831315755844,0.020614687353372574,0.07003118097782135,0.11260981112718582,0.22736652195453644,0.3100275993347168,0.28203660249710083,0.34184443950653076,0.3138030171394348,0.44280967116355896,0.5275390148162842,0.42647767066955566,0.4211580157279968,0.7168174982070923,0.7807785272598267,0.5922147035598755,0.6710068583488464,0.5309643745422363,0.658310055732727,0.6839884519577026,0.7105144262313843,0.4881393313407898,0.44239097833633423,0.4609549045562744,0.8243259787559509,0.8884767889976501,0.9521774649620056,0.8536194562911987,0.9114197492599487,1.000654935836792,0.9040309190750122,1.090198278427124,1.3258519172668457,1.380833625793457,1.284010648727417,1.2830910682678223,1.3347229957580566,1.333096981048584,1.203546166419983,1.0935155153274536,1.10015869140625,1.0757873058319092,0.9253717660903931,0.7779993414878845,0.7561762928962708,0.6470791101455688,0.7814773917198181,0.7793461084365845,0.8055769205093384,0.8983885645866394,0.8890281915664673,1.0583792924880981,1.117125153541565,0.9510834813117981,1.004225254058838,1.2771683931350708,1.4926550388336182,1.7434487342834473,1.656378984451294,1.925052523612976,1.1468437910079956,0.5392377376556396,0.001072268933057785,-0.02260926365852356,-0.0472085103392601,-0.06018476560711861,-0.03164219111204147,0.036223940551280975,0.03170740231871605,-0.029030118137598038,0.19669735431671143,-0.09721852838993073,-0.06861135363578796,-0.11633090674877167,-0.08485797792673111,-0.04808814823627472,0.05951320379972458,-0.09610441327095032,0.10819131135940552,0.02953255921602249,0.12318010628223419,0.04287629947066307,-0.11943487823009491,-0.1180049404501915,0.059348978102207184,0.0840180367231369,-0.2806408107280731,-0.09184082597494125,-0.34411370754241943,-0.1137087494134903,0.29371213912963867,-0.0959802120923996,0.30438387393951416,-0.0536804273724556,-0.3915443420410156,0.3050316274166107,0.5181488990783691,0.6535022258758545,0.4312884509563446,-0.6254790425300598,-0.3271889388561249,-0.3239310085773468,0.22840306162834167,-0.13696226477622986,-0.2008599191904068,0.1883457750082016,0.09701560437679291,0.41521158814430237,0.6368072032928467,-0.04706732928752899,-0.48892641067504883,0.06334978342056274,0.16189786791801453,-0.07056117057800293,-0.445370078086853,0.24736915528774261,-0.029907912015914917,0.1912125051021576,-0.00018446147441864014,-0.017223544418811798,0.38610512018203735,0.5200310945510864,0.030787557363510132,-0.21275430917739868,-0.03645670413970947
5,1,0.08432968705892563,0.07644326239824295,0.01934737339615822,0.08894546329975128,0.09495258331298828,0.20074136555194855,0.26247671246528625,0.2413269281387329,0.23024381697177887,0.24377641081809998,0.3155614137649536,0.37633374333381653,0.2970008850097656,0.3265169560909271,0.5387427806854248,0.5604164600372314,0.39042139053344727,0.48353850841522217,0.42874762415885925,0.5702632069587708,0.5604667663574219,0.6285668611526489,0.4978252649307251,0.5599756240844727,0.5737007856369019,0.8250464200973511,0.8535201549530029,0.9222468137741089,0.9702118039131165,1.0429540872573853,1.1071008443832397,1.0168578624725342,1.121152639389038,1.4037253856658936,1.4606537818908691,1.457414984703064,1.455147624015808,1.4716562032699585,1.4867420196533203,1.3879739046096802,1.309133529663086,1.3416072130203247,1.3213859796524048,1.279937982559204,1.1408631801605225,1.0573933124542236,0.9702998399734497,1.0385277271270752,0.9606330394744873,0.9417380094528198,1.013192892074585,0.9123833179473877,1.0674593448638916,1.0947612524032593,0.9592570066452026,0.9495460391044617,1.1988294124603271,1.3417694568634033,1.512485146522522,1.5663442611694336,1.9492790699005127,0.7481411695480347,0.21185636520385742,0.012470178306102753,-0.021531565114855766,-0.033200353384017944,-0.0453786626458168,-0.0014278590679168701,-0.009529616683721542,-0.007615257985889912,-0.03168648108839989,0.13947317004203796,-0.05589872598648071,-0.12730494141578674,-0.12070015072822571,-0.06444577872753143,0.011412751860916615,0.010218214243650436,-0.04309019818902016,0.028740232810378075,-0.02433842234313488,0.08660906553268433,0.102424755692482,-0.06565313041210175,-0.09901420027017593,0.03214973211288452,0.25403982400894165,-0.11900536715984344,-0.12278024852275848,-0.25086700916290283,-0.2762134373188019,0.4396597146987915,-0.07718183100223541,0.21156013011932373,0.2075296938419342,-0.2510528862476349,-0.007462844252586365,0.47293466329574585,0.5801677703857422,0.04504287987947464,-0.44108670949935913,-0.41068097949028015,-0.007441192865371704,0.17098593711853027,-0.21475088596343994,0.25094860792160034,0.10441246628761292,0.11291909217834473,0.1331792175769806,0.448140025138855,-0.13135367631912231,0.027293920516967773,0.17198212444782257,0.19863170385360718,-0.09194489568471909,-0.37826189398765564,0.22022317349910736,-0.1659061461687088,0.24278265237808228,0.05466108024120331,-0.15450042486190796,0.22221839427947998,0.7211608290672302,-0.5662829875946045,-0.28414618968963623,0.06385836005210876
6,1,0.08290635049343109,0.07656833529472351,0.010886553674936295,0.11756044626235962,0.03805860877037048,0.11009868234395981,0.13821035623550415,0.11323302239179611,0.1353270709514618,0.11403883993625641,0.09132245182991028,0.07194811850786209,0.008791707456111908,0.05677442252635956,0.08273658901453018,0.11641024053096771,0.05620972067117691,0.06725391745567322,0.008949518203735352,0.07558145374059677,0.16692805290222168,0.15440447628498077,0.10379432141780853,-0.06707894802093506,-0.02869918942451477,0.08981601148843765,0.016110092401504517,0.08421092480421066,-0.0449233278632164,-0.06729202717542648,-0.05667860060930252,-0.15719272196292877,-0.05922883749008179,0.14826622605323792,0.07624449580907822,-0.047997280955314636,0.01440592110157013,-0.036061786115169525,0.007465139031410217,-0.07140551507472992,-0.09308728575706482,-0.15209437906742096,-0.07285916805267334,-0.034147560596466064,-0.210651233792305,-0.06385400891304016,-0.23500770330429077,-0.20952531695365906,-0.2832067906856537,-0.18258365988731384,-0.17672112584114075,-0.010327748954296112,0.12623253464698792,0.08714521676301956,-0.010897986590862274,0.1588989794254303,0.38179609179496765,0.7335689067840576,1.0158193111419678,1.0406920909881592,1.2921112775802612,0.021956562995910645,0.09356820583343506,0.019007153809070587,-0.03116123378276825,-0.05333879590034485,-0.057734884321689606,0.005160102620720863,-0.0017955731600522995,-0.0107417032122612,-0.012045560404658318,0.06437644362449646,-0.058411188423633575,0.04636501520872116,-0.09828914701938629,-0.049308259040117264,-0.012478433549404144,-0.09342643618583679,0.06608396768569946,0.13520511984825134,-0.05285431444644928,0.295238196849823,0.08312791585922241,0.0244821198284626,0.23436257243156433,0.24936336278915405,0.07290118932723999,-0.014569208025932312,0.30249983072280884,0.0026025325059890747,-0.42201119661331177,-0.07550019025802612,-0.15835042297840118,0.004884146153926849,0.2567239999771118,-0.2101878821849823,-0.1725444495677948,-0.016298290342092514,0.13881585001945496,-0.17497974634170532,-0.21020735800266266,0.044156692922115326,-0.09482799470424652,-0.28409329056739807,0.24527549743652344,-0.05495995283126831,0.34263211488723755,-0.07278700917959213,0.3894854187965393,0.15467649698257446,0.18174326419830322,-0.27193596959114075,-0.10353982448577881,-0.3483416438102722,-0.6399577260017395,0.18829715251922607,0.7046034932136536,-0.2455674111843109,0.05874025821685791,-0.3272274136543274,0.174393430352211,0.22256672382354736,0.7529983520507812,-1.1079339981079102,-0.2246859073638916,0.2922058701515198
7,1,0.07643116265535355,0.06623965501785278,-0.00343284010887146,0.024592898786067963,0.01856495440006256,0.09538104385137558,0.1536920666694641,0.14278820157051086,0.11577282100915909,0.0031567364931106567,0.04653836041688919,0.09088090807199478,0.006542868912220001,0.02103065699338913,0.2766464352607727,0.4365261197090149,0.2611844539642334,0.2622259557247162,0.10077159106731415,0.2720719575881958,0.31440168619155884,0.2840491533279419,0.11675100773572922,0.08460304141044617,0.06822460889816284,0.37508660554885864,0.36451953649520874,0.48052075505256653,0.26507285237312317,0.35667964816093445,0.2762245535850525,0.17171940207481384,0.28638291358947754,0.5882403254508972,0.5968935489654541,0.7156946659088135,0.7281755805015564,0.7851117849349976,0.7459745407104492,0.6874450445175171,0.6153417825698853,0.5669188499450684,0.6079046726226807,0.6266376972198486,0.5010169744491577,0.5335341691970825,0.39196136593818665,0.5347716212272644,0.6058158278465271,0.6614646315574646,0.6600457429885864,0.6507851481437683,0.7485471963882446,0.7810708284378052,0.6425614953041077,0.7919877767562866,1.0084810256958008,1.1976301670074463,1.4233123064041138,1.3120627403259277,1.741731882095337,0.9041284322738647,-0.08731335401535034,0.007499421015381813,-0.013954194262623787,-0.04766002297401428,-0.06590069085359573,0.008384422399103642,-0.007572293281555176,0.0666738972067833,-0.03282377868890762,0.148609921336174,-0.0960996001958847,-0.01657428964972496,-0.13033150136470795,-0.03129417449235916,-0.004455599933862686,-0.014752648770809174,-0.14366164803504944,0.0785888135433197,-0.009532181546092033,0.10599919408559799,0.017262909561395645,-0.08739273250102997,-0.021209120750427246,-0.043880775570869446,-0.02030256576836109,-0.10140573978424072,0.1737586110830307,-0.038760021328926086,0.041297540068626404,0.23581674695014954,0.027788281440734863,0.4953896701335907,-0.1125120297074318,-0.08355295658111572,0.14514349400997162,0.4402124285697937,0.33094853162765503,0.08241599798202515,-0.37585413455963135,0.3173925280570984,-0.3820372521877289,0.31580740213394165,0.24960795044898987,-0.10412153601646423,0.62713623046875,0.10986658930778503,0.03787669539451599,0.39040812849998474,0.35420215129852295,-0.1983880251646042,0.26450443267822266,-0.2693028450012207,-0.7607850432395935,-0.7679775953292847,0.6915386915206909,0.2629747986793518,-0.0542132705450058,0.197512686252594,0.29795703291893005,0.10887746512889862,-0.058890700340270996,-0.04936838150024414,-0.22477012872695923,0.5186581611633301
8,1,0.0963427871465683,0.08880788087844849,0.03701101243495941,0.06374265998601913,0.08856015652418137,0.2244800329208374,0.30119770765304565,0.284216970205307,0.33695197105407715,0.3114220201969147,0.44357484579086304,0.5151246786117554,0.4158112406730652,0.43126529455184937,0.7492074966430664,0.8496947288513184,0.6666449308395386,0.7470788955688477,0.6101056337356567,0.748494029045105,0.7698656320571899,0.8327250480651855,0.6446892023086548,0.6106333136558533,0.5951544046401978,0.9625500440597534,1.010650873184204,1.088144302368164,1.0112055540084839,1.0212304592132568,1.099338412284851,0.9922277331352234,1.1675738096237183,1.403588056564331,1.4724957942962646,1.3616445064544678,1.4061846733093262,1.487455129623413,1.4837478399276733,1.3579678535461426,1.2873306274414062,1.2712607383728027,1.2328425645828247,1.077946424484253,0.9652183055877686,0.9248171448707581,0.8380669355392456,0.8999842405319214,0.9107471704483032,0.9307255744934082,0.9885121583938599,0.9282426834106445,1.0967442989349365,1.1616759300231934,1.011559247970581,1.0762759447097778,1.30759596824646,1.5268505811691284,1.7502213716506958,1.6891478300094604,1.9895620346069336,1.2633678913116455,0.846977949142456,0.007849723100662231,-0.02892596833407879,-0.04269950091838837,-0.062450606375932693,-0.017890557646751404,0.02861572802066803,0.03793514519929886,-0.027578607201576233,0.20186427235603333,-0.07225999236106873,-0.09793457388877869,-0.0603393130004406,-0.06464612483978271,-0.038522858172655106,-0.003684431314468384,-0.14247013628482819,0.05046441778540611,0.022007208317518234,0.08511348813772202,0.08219581097364426,-0.12860366702079773,-0.1526142656803131,0.08185723423957825,0.07846376299858093,-0.2301383763551712,-0.07793698459863663,-0.23753154277801514,-0.25818735361099243,0.25080910325050354,-0.22838103771209717,0.3954513370990753,-0.17219829559326172,-0.49875277280807495,0.3551747500896454,0.5514757633209229,0.6371742486953735,0.39107775688171387,-0.7740342617034912,-0.18381577730178833,-0.46175432205200195,0.26149073243141174,-0.29861336946487427,-0.018203645944595337,0.24065963923931122,0.162669375538826,0.5041763782501221,0.44217485189437866,-0.039639174938201904,-0.25175803899765015,0.13504472374916077,0.0795527920126915,-0.34380173683166504,-0.450542688369751,0.23095650970935822,-0.21750757098197937,0.12220856547355652,0.20436009764671326,-0.06735508888959885,0.5590330362319946,0.6468292474746704,-0.0728282630443573,0.08865460753440857,-0.03127479553222656
9,1,0.052001431584358215,0.035103119909763336,0.04016290232539177,0.1762484461069107,0.12307716906070709,0.19328561425209045,0.21130700409412384,0.15158610045909882,0.20689350366592407,0.19831565022468567,0.23030537366867065,0.19014665484428406,0.14561468362808228,0.20017550885677338,0.24093617498874664,0.28774207830429077,0.20281152427196503,0.22794659435749054,0.2486501932144165,0.37215638160705566,0.37536805868148804,0.37174612283706665,0.3434458076953888,0.291843056678772,0.356672465801239,0.5444732308387756,0.5870405435562134,0.49508634209632874,0.540968656539917,0.6526132822036743,0.7150688171386719,0.651581883430481,0.8425397276878357,0.8834589719772339,0.9084280133247375,0.9628473520278931,0.9745670557022095,0.9841634035110474,0.963385820388794,0.9347941875457764,0.8160122632980347,0.7700355052947998,0.7093743681907654,0.7542153596878052,0.7489126920700073,0.7910793423652649,0.5972456932067871,0.6391436457633972,0.46989545226097107,0.6228200793266296,0.7295092344284058,0.7749667763710022,0.9226938486099243,1.0674909353256226,1.1011230945587158,1.409195899963379,1.8096253871917725,2.1014199256896973,2.2899796962738037,2.4682679176330566,2.683887481689453,1.6154510974884033,2.1861493587493896,0.03253869339823723,-0.049696486443281174,-0.09385620802640915,-0.011641286313533783,0.016280915588140488,0.043157391250133514,0.04980824515223503,-0.07505568116903305,0.10787631571292877,-0.057033881545066833,0.025415359064936638,-0.04526114463806152,0.012395322322845459,-0.07111585140228271,-0.0023841774091124535,0.03568096086382866,0.10332220792770386,-0.1117243692278862,0.11508671194314957,-0.05777191370725632,-0.057497672736644745,0.13698865473270416,0.07228334248065948,0.10389117151498795,-0.1976345181465149,0.18893317878246307,0.23592093586921692,-0.21982711553573608,-0.23180532455444336,-0.1039373129606247,-0.02079169452190399,0.01879023015499115,-0.32961052656173706,-0.3444272577762604,0.21448037028312683,-0.7509551048278809,-0.18992936611175537,0.3189290463924408,-0.08320952206850052,-0.059186771512031555,-0.4179379343986511,-0.315521240234375,0.12799689173698425,0.30206581950187683,-0.24686744809150696,0.30852437019348145,0.3461788594722748,-0.23329943418502808,-0.6741729378700256,0.769438624382019,0.5633959174156189,-0.06468510627746582,-0.582923948764801,0.2735133767127991,-0.6701890826225281,0.656032383441925,-0.23087337613105774,0.5210106372833252,0.167161226272583,0.9137760996818542,0.10945497453212738,-0.47868722677230835,0.14823384582996368
